City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,zhigansk,66.7697,123.3711,-42.52,96,51,11.97,RU,1675537473
302,port-gentil,-0.7193,8.7815,80.56,94,40,11.5,GA,1675537474
303,aklavik,68.2191,-135.0107,-43.6,66,20,3.44,CA,1675537474
304,stratonion,40.5141,23.8247,46.96,63,100,16.24,GR,1675537474
305,jakar,27.5492,90.7525,34.23,96,98,3.27,BT,1675537475
306,disna,55.568,28.1971,20.77,93,100,10.42,BY,1675537475
307,chapais,49.7834,-74.8492,-11.42,84,100,8.99,CA,1675537412
308,margate,51.3813,1.3862,47.89,75,100,4.0,GB,1675537238
309,christchurch,-43.5333,172.6333,77.95,56,94,13.8,NZ,1675537378
310,bitung,1.4451,125.1824,74.25,73,100,4.14,ID,1675537476
311,nanortalik,60.1432,-45.2371,26.69,82,100,28.97,GL,1675537476
312,lorengau,-2.0226,147.2712,80.74,72,100,3.31,PG,1675537477
313,puerto escondido,15.85,-97.0667,85.03,70,20,8.05,MX,1675537477
314,neepawa,50.2289,-99.4664,16.2,94,100,4.36,CA,1675537477
315,bowen,-20.0167,148.2333,79.23,88,100,9.4,AU,1675537477
316,beloha,-25.1667,45.05,73.72,83,100,16.73,MG,1675537478
317,sambava,-14.2667,50.1667,77.32,90,68,10.11,MG,1675537478
318,vardo,70.3705,31.1107,17.58,67,100,8.05,NO,1675537478
319,yulara,-25.2406,130.9889,67.28,32,0,11.01,AU,1675537479
320,omboue,-1.5746,9.2618,78.98,85,98,6.38,GA,1675537478
321,pontiac,42.6389,-83.2911,29.08,54,20,17.27,US,1675537479
322,havre-saint-pierre,50.2334,-63.5986,6.8,60,100,20.71,CA,1675537289
323,san rafael,-34.6177,-68.3301,89.56,17,0,10.69,AR,1675537301
324,maumere,-8.6199,122.2111,78.13,85,100,3.83,ID,1675537465
325,guastatoya,14.8539,-90.0647,80.67,54,83,5.39,GT,1675537479
326,les cayes,18.2,-73.75,82.08,59,28,14.07,HT,1675537480
327,la ronge,55.1001,-105.2842,8.85,78,100,2.3,CA,1675537480
328,nizhniy odes,63.6445,54.856,-6.14,100,100,2.46,RU,1675537480
329,magway,20.15,94.9167,70.12,28,65,3.8,MM,1675537220
330,doka,13.5167,35.7667,79.12,25,100,11.21,SD,1675537481
331,machachi,-0.5,-78.5667,69.3,74,100,4.32,EC,1675537456
332,hay river,60.8156,-115.7999,-5.82,71,75,3.44,CA,1675537332
333,miri,4.4148,114.0089,77.14,94,40,4.61,MY,1675537481
334,souillac,-20.5167,57.5167,79.18,89,40,8.05,MU,1675537482
335,baruun-urt,46.6806,113.2792,-2.54,87,47,3.0,MN,1675537291
336,tawau,4.2498,117.8871,77.13,94,97,1.01,MY,1675537482
337,luderitz,-26.6481,15.1594,64.35,83,5,16.55,NA,1675537482
338,camargo,27.6667,-105.1667,63.88,25,14,6.38,MX,1675537483
339,ibadan,7.3878,3.8964,82.4,65,100,9.1,NG,1675537483
340,cidreira,-30.1811,-50.2056,77.04,70,86,11.68,BR,1675537483
341,lesozavodsk,45.4794,133.4244,3.38,93,100,5.99,RU,1675537484
342,burnie,-41.0667,145.9167,54.54,76,5,10.25,AU,1675537484
343,mirandopolis,-21.1336,-51.1017,77.99,82,95,4.45,BR,1675537484
344,high level,58.5169,-117.136,5.11,92,100,3.44,CA,1675537485
345,sisimiut,66.9395,-53.6735,-6.18,96,86,8.5,GL,1675537485
346,pacific grove,36.6177,-121.9166,61.9,81,100,20.0,US,1675537485
347,yumaguzino,52.9041,56.3933,2.52,90,100,3.49,RU,1675537486
348,zhezkazgan,47.8043,67.7144,10.78,98,100,4.09,KZ,1675537486
349,manadhoo,5.7667,73.3833,80.96,76,100,5.19,MV,1675537486
350,banda aceh,5.5577,95.3222,77.11,84,94,2.04,ID,1675537487
351,moerai,-22.4333,-151.3333,79.54,79,2,15.21,PF,1675537487
352,segezha,63.7415,34.3222,-2.99,99,60,4.07,RU,1675537487
353,chiari,45.5359,9.9304,49.48,45,4,9.51,IT,1675537488
354,apahida,46.8167,23.75,28.54,93,100,10.36,RO,1675537488
355,katangli,51.7102,143.2326,-15.16,99,28,8.79,RU,1675537488
356,canela,-29.3656,-50.8156,73.27,77,39,1.99,BR,1675537488
357,ballybofey,54.8,-7.7833,37.8,80,5,3.53,IE,1675537489
358,andenes,69.3143,16.1194,35.58,64,100,19.57,NO,1675537370
359,batagay,67.6333,134.6333,-43.06,100,100,1.34,RU,1675537489
360,kedrovyy,56.1667,91.8167,-7.19,99,100,1.45,RU,1675537489
361,challapata,-18.9,-66.7667,42.01,93,100,1.97,BO,1675537490
362,sokolo,14.7328,-6.1219,81.41,12,95,8.01,ML,1675537490
363,olivehurst,39.0955,-121.5522,62.98,60,20,6.91,US,1675537490
364,lagoa,39.05,-27.9833,59.11,87,6,16.69,PT,1675537491
365,mobaye,4.319,21.1786,79.72,23,74,1.83,CF,1675537491
